Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
61,Ryan Allsop,eng ENG,GK,Bournemouth,eng Premier League,24,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
62,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,23,1993,12,10,959,10.7,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,2016-2017,,,,,,,,,,,,
63,Marcos Alonso,es ESP,MF,Chelsea,eng Premier League,25,1990,31,30,2693,29.9,6,3,9,6,0,0,2,0,0.20,0.10,0.30,0.20,0.30,Matches,2016-2017,,,,,,,,,,,,
64,Marcos Alonso,es ESP,MF,Fiorentina,it Serie A,25,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
65,Xabi Alonso,es ESP,MF,Bayern Munich,de Bundesliga,34,1981,27,22,1903,21.1,3,2,5,3,0,0,6,0,0.14,0.09,0.24,0.14,0.24,Matches,2016-2017,,,,,,,,,,,,
66,Halil Altıntop,tr TUR,MF,Augsburg,de Bundesliga,33,1982,31,17,1605,17.8,6,2,8,6,0,0,1,0,0.34,0.11,0.45,0.34,0.45,Matches,2016-2017,,,,,,,,,,,,
67,Hamit Altıntop,tr TUR,MF,Darmstadt 98,de Bundesliga,33,1982,16,15,1362,15.1,0,0,0,0,0,1,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
68,Ricky Álvarez,ar ARG,MF,Sampdoria,it Serie A,28,1988,21,11,987,11.0,2,2,4,2,0,0,3,1,0.18,0.18,0.36,0.18,0.36,Matches,2016-2017,,,,,,,,,,,,
69,Sergio Álvarez,es ESP,MF,Sporting Gijón,es La Liga,24,1992,36,34,3003,33.4,2,1,3,2,0,0,9,0,0.06,0.03,0.09,0.06,0.09,Matches,2016-2017,,,,,,,,,,,,
70,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,29,1986,26,26,2340,26.0,0,1,1,0,0,0,0,1,0.00,0.04,0.04,0.00,0.04,Matches,2016-2017,,,,,,,,,,,,
71,Víctor Álvarez,es ESP,DF,Espanyol,es La Liga,23,1993,4,2,204,2.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
72,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,21,1995,26,25,2271,25.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
73,Bruno Alves,pt POR,DF,Cagliari,it Serie A,34,1981,36,36,3240,36.0,1,0,1,1,0,0,5,1,0.03,0.00,0.03,0.03,0.03,Matches,2016-2017,,,,,,,,,,,,
74,Dani Alves,br BRA,"DF,MF",Juventus,it Serie A,33,1983,19,15,1359,15.1,2,3,5,2,0,0,5,0,0.13,0.20,0.33,0.13,0.33,Matches,2016-2017,,,,,,,,,,,,
75,Diego Alves,br BRA,GK,Valencia,es La Liga,31,1985,33,33,2970,33.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
76,Ibrahim Amadou,fr FRA,MF,Lille,fr Ligue 1,23,1993,35,34,2952,32.8,1,0,1,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,Matches,2016-2017,,,,,,,,,,,,
77,Morgan Amalfitano,fr FRA,MF,Rennes,fr Ligue 1,31,1985,6,6,401,4.5,1,0,1,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,Matches,2016-2017,,,,,,,,,,,,
78,Morgan Amalfitano,fr FRA,"MF,FW",Lille,fr Ligue 1,31,1985,17,8,733,8.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
79,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,26,1989,26,15,1418,15.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
80,Daniel Amartey,gh GHA,MF,Leicester City,eng Premier League,21,1994,24,17,1673,18.6,1,1,2,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11,Matches,2016-2017,,,,,,,,,,,,
81,Jordi Amat,id IDN,DF,Swansea City,eng Premier League,24,1992,17,15,1409,15.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
82,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,18,1998,22,20,1776,19.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
83,Nadiem Amiri,de GER,"MF,FW",Hoffenheim,de Bundesliga,19,1996,33,20,1989,22.1,2,4,6,2,0,0,2,0,0.09,0.18,0.27,0.09,0.27,Matches,2016-2017,,,,,,,,,,,,
84,Fernando Amorebieta,ve VEN,DF,Sporting Gijón,es La Liga,31,1985,27,26,2218,24.6,0,1,1,0,0,0,17,0,0.00,0.04,0.04,0.00,0.04,Matches,2016-2017,,,,,,,,,,,,
85,Nordin Amrabat,ma MAR,"MF,FW",Watford,eng Premier League,29,1987,29,25,2091,23.2,0,3,3,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches,2016-2017,,,,,,,,,,,,
86,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,26,1989,13,13,1109,12.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
87,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,23,1993,36,33,2908,32.3,4,8,12,3,1,1,5,0,0.12,0.25,0.37,0.09,0.34,Matches,2016-2017,,,,,,,,,,,,
88,Florin Andone,ro ROU,FW,La Coruña,es La Liga,23,1993,37,32,2893,32.1,12,2,14,12,0,0,6,0,0.37,0.06,0.44,0.37,0.44,Matches,2016-2017,,,,,,,,,,,,
89,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,25,1990,36,36,3215,35.7,0,3,3,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,Matches,2016-2017,,,,,,,,,,,,
90,Marco Andreolli,it ITA,DF,Inter,it Serie A,30,1986,6,4,362,4.0,1,0,1,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches,2016-2017,,,,,,,,,,,,
91,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,27,1989,16,16,1367,15.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
92,Victorien Angban,ci CIV,MF,Granada,es La Liga,19,1996,10,8,682,7.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,26,1990,31,25,2139,23.8,5,1,6,4,1,1,3,0,0.21,0.04,0.25,0.17,0.21,Matches,2016-2017,,,,,,,,,,,,
94,José Ángel,es ESP,DF,Villarreal,es La Liga,26,1989,7,7,630,7.0,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches,2016-2017,,,,,,,,,,,,
95,Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,es La Liga,32,1984,9,8,770,8.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
96,Gabriele Angella,it ITA,"DF,MF",Udinese,it Serie A,27,1989,14,10,1017,11.3,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,2016-2017,,,,,,,,,,,,
97,Benjamin Angoua,ci CIV,DF,Guingamp,fr Ligue 1,29,1986,7,6,538,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
